;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
0;3257;024X.PAN23D;BBGO/PDL/Angers;51 à 100 km;Traité;08/06/2023;Bouygues Bâtiment Grand Ouest, 51 Av. du Grésillé, 49000 ANGERS;47,531;-0,5278
1;3312;848X.AKA048;BYES;0 à 50 km;Traité;01/09/2022;40 avenue roger salengro, 13003 MARSEILLE 03;43,3104481;5,3733332
2;378;024X.BBE802;BBGO/NormPIC/Beauvais;101 à 150 km;Archivé;07/01/2019;RUE DU 18 JUIN 1940, 60560 ORRY LA VILLE;49,1335;2,5114
4;1606;BZNX.PH0010;HAS/HAS REHA;0 à 50 km;Archivé;08/02/2019;28 Place de la Nation, 75012 PARIS 12;18,3;-74,16667
6;1636;B09X.PS0583;HAS/HAS NEUF;0 à 50 km;Archivé;01/10/2020;125 Rue jean durand, 93240 STAINS;48,9563685;2,3798688
8;2139;022X.410020;BBCSO/SO/TLSE;0 à 50 km;Traité;22/06/2020;64 Boulevard Pierre SEMARD, 31500 TOULOUSE;43,6108691;1,4538686
12;3103;024X.75602500;BBGO/OUEST/Rennes;51 à 100 km;Traité;11/04/2022;6 Rue Lieutenant de Police Régis Ryckebusch, 56000 VANNES;47,6667;-2,75
18;1067;S17X.PE0092;REP/REP;Zone IDF 0 à 50 km;Archivé;01/05/2018;21 boulevard malesherbes , 75008 PARIS ;48,8721109;2,3215512
23;246;024X.BLH702;BBGO/NormPIC/Le Havre;51 à 100 km;Archivé;03/07/2017;Rue Henry Genestal, 76600 Le Havre;49,4957126;0,1066904
24;104;070X.BR1605-G2;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;13/09/2017;Boulevard Jean Rondeaux, 76100 Rouen;49,4431;1,0993
25;3530;EXTX.453320;COLAS/COLAS;101 à 150 km;Traité;11/01/2023;Avenue de la Grande Cavée, 14200 HEROUVILLE ST CLAIR;49,1997564;-0,3439622
27;854;B11X.PE0106;REP/REP;Zone IDF 0 à 50 km;Archivé;06/06/2019;14 impasse d'antin, 75008 PARIS 08;43,2;-80,38333
28;1984;B11X.PE0120;REP/REP;0 à 50 km;Archivé;13/03/2020;67 boulevard haussmann, 75008 PARIS 08;43,2;-80,38333
29;103;070X.BR1605-G1;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;13/09/2017;Boulevard Jean Rondeaux, 76100 Rouen;49,4431;1,0993
32;2821;570X.VS2104;TP RF/CSO;101 à 150 km;Traité;15/01/2021;135 rue de Monts, 37260 MONTBAZON;47,281219;0,6883288
33;332;VL1604;TP RF/CSO;151 à 200 km;Archivé;13/03/2017;19 rue des erables, 86000 DISSAY;46,5833;0,3333
35;1861;570X.VL1903;TP RF/CSO;201 à 250 km;Archivé;23/09/2019;Lieu dit Les Mortiers, 72160 BEILLE;48,1048;0,5847
36;2511;570X.TE2101;TP RF/SEP TPRF;0 à 50 km;Traité;30/04/2021;rue Adolphe Bobierre, 44000 NANTES;47,2661462;-1,5664571
37;975;570X.OU1709;TP RF/SEP TPRF;51 à 100 km;Archivé;08/01/2018;RD45C - Le moulin Troussel, 14430 ANGERVILLE;49,2313;-0,0445
38;2963;570X.VS2105;TP RF/TPRF ONE;151 à 200 km;Traité;06/01/2022;RD18, 21360 THOREY SUR OUCHE;47,2163;4,7218
39;3879;570X.A680L1;TP RF/SEP TPRF;0 à 50 km;Traité;06/11/2023;Route départemantale 20, Lieu dit Preusso, 31380 GRAGNAGUE;43,7198;1,5902
40;3685;570X.VS2302;TP RF/SE;0 à 50 km;Traité;03/07/2023;ZA de vernay impasse du stade, 69420 AMPUIS;45,4891;4,8088
42;3921;A7A54B;TP RF/SE;0 à 50 km;Traité;30/10/2023;208 allée de la coudoulette, 13680 LANCON PROVENCE;43,5924;5,1317
43;4003;570X.A7A54B;TP RF/SE;0 à 50 km;Traité;23/10/2023;208 allée de la coudoulette, 13680 LANCON PROVENCE;43,5924;5,1317
44;2996;570X.VS2201;TP RF/VSL FR;101 à 150 km;Archivé;01/03/2022;Avenue des Etangs, face à Moto Sud Evasion, 11100 NARBONNE;43,1833;2,9333
47;1775;BZNX.226223;BZ/BZ SE;0 à 50 km;Archivé;27/05/2019;RUE CAMILLE JENATZY, 78260 ACHERES;48,9701965;2,077719
49;108;226157;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;12/01/2017;Route Forestière / Route neuve, 78100 Saint Germain En Laye;48,9;2,0833
50;107;226162;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;12/01/2017;Route Forestière / Route neuve, 78100 Saint Germain En Laye;48,9;2,0833
51;1904;BZNX.226225;BZ/BZ SE;0 à 50 km;Archivé;10/09/2019;Route Centrale des Noyers, 78100 ST GERMAIN EN LAYE;48,9820651;2,149616
53;968;024X.BRE805;BBGO/OUEST/Rennes;101 à 150 km;Archivé;18/02/2019;2 rue du Placis Vert, 35510 CESSON SEVIGNE;48,1257012;-1,6007962
54;3346;T01X.309623;BY TP/TPRP;Zone IDF 0 à 50 km;Traité;01/03/2023;avenue de l’union, 94390 PARAY VIEILLE POSTE;48,7295264;2,3696551
55;3473;333X.090206;BCSN;> 300 km;Traité;20/02/2023;ORANO , Etablissement de la HAGUE, 50444 LA HAGUE;18,86667;-71,81667
56;3186;Z32X.9O9363;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;23/05/2022;30 Route de Longjumeau , 91380 CHILLY MAZARIN;48,7079163;2,2970932
57;3107;570X.SO2201;TP RF/CSO;51 à 100 km;Traité;07/09/2022;73 avenue des Landes, 47310 ROQUEFORT;44,1412;0,5608
58;2001;022X.410000;BBCSO/SO/TLSE;51 à 100 km;Archivé;09/11/2020;Avenue d'Aquitaine, 47550 BOE;44,1850748;0,6372922
61;2815;EXTX.COL9150;COLAS/COLAS;0 à 50 km;Traité;01/11/2021;Porte d asnieres à porte dauphine, Boulevard des maréchauds, 75016 PARIS 16;32,7673;-96,7776
62;3239;022X.322120;BBCSO/SO/BDX;51 à 100 km;Traité;03/04/2023;138 avenue jean jaures, 47000 AGEN;44,2045896;0,6264405
63;3988;570X.AGESCI;TP RF/TPRF ONE;0 à 50 km;Traité;08/01/2024;3 avenue de penhouet, 44600 ST NAZAIRE;47,2833;-2,2
67;775;022X.517300;BBCSO/SO/TLSE;0 à 50 km;Archivé;21/08/2017;2  Rond-Point Pierre GUILLAUMAT, 31400 TOULOUSE;43,5565204;1,4813224
68;774;022X.517200;BBCSO/SO/TLSE;0 à 50 km;Archivé;01/09/2017;31 RUE DES COSMONAUTES, 31400 TOULOUSE;43,5597132;1,4968922
71;2506;020X.292020;BBSE/HN/HN PALR;0 à 50 km;Traité;01/02/2023;chemin des floralies (phase 1), 13090 AIX EN PROVENCE;43,5283;5,4497
72;1657;020X.291030;BBSE/HN/HN PALR;0 à 50 km;Traité;01/09/2021;1 Avenue Robert Schuman , 13100 AIX EN PROVENCE;43,5210891;5,4470665
78;3;BLM704;BBGO/PDL/Le Mans;151 à 200 km;Archivé;17/05/2017;9 Rue du Pont Neuf, 61000 Alencon;48,4292598;0,0882911
79;5;024X.QUI BLM802;BBGO/PDL/Le Mans;101 à 150 km;Archivé;03/09/2018;Rue Jullien, 61000 ALENCON;48,4327896;0,0842108
84;2118;B09X.PH0039;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;07/05/2020;12 RUE EDOUARD VAILLANT, 94140 ALFORTVILLE;48,8124463;2,4172163
85;1822;020X.219010;BBSE/HN/HN RAAU;0 à 50 km;Archivé;17/08/2020;Rue Paul VILLEMOT/ Rue Gabriel CORDIER , 69650 ST GERMAIN AU MONT D OR;45,664046;-121,552365
86;3169;024X.HTS22B;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Archivé;11/07/2022;Rue de la Maison Rouge, 27460 ALIZAY;49,3216;1,1785
